DATE,TB3MS
2006-07-01,4.81
2006-10-01,4.85
2007-01-01,4.94
2007-04-01,4.61
2007-07-01,3.89
2007-10-01,3.00
2008-01-01,1.26
2008-04-01,1.86
2008-07-01,1.13
2008-10-01,0.03
2009-01-01,0.21
2009-04-01,0.18
2009-07-01,0.12
2009-10-01,0.05
2010-01-01,0.15
2010-04-01,0.12
2010-07-01,0.15
2010-10-01,0.14
2011-01-01,0.10
2011-04-01,0.04
2011-07-01,0.01
2011-10-01,0.01
2012-01-01,0.08
2012-04-01,0.09
2012-07-01,0.11
2012-10-01,0.07
2013-01-01,0.09
2013-04-01,0.05
2013-07-01,0.02
2013-10-01,0.07
2014-01-01,0.05
2014-04-01,0.04
2014-07-01,0.02
2014-10-01,0.03
2015-01-01,0.03
2015-04-01,0.02
2015-07-01,0.02
2015-10-01,0.23
2016-01-01,0.29
2016-04-01,0.27
